iter	Logloss
0	0.6766445142
1	0.6590248486
2	0.6406368507
3	0.6271023069
4	0.61395565	055	0.59963646	066	0.58611807	077	0.57287118	88	0.556446079	99	0.5479509110110	0.5384308111111	0.5243732121212	0.5102095131313	0.500253814114	0.490354315	115	0.478365716	116	0.470091317	117	0.463389518	118	0.454082419	119	0.4459254202020	0.4389096212121	0.4322795222222	0.4230776232323	0.4156980242424	0.4080140252525	0.4034399262626	0.398258127227	0.3913224828228	0.3831701
29	0.3818973554
30	0.377754618
31	0.3720635216
32	0.367633872
33	0.3613145448
34	0.3573206598
35	0.3511781414
36	0.3465639392
37	0.3430289931
38	0.3376510945
39	0.3338437539
40	0.3311318296
41	0.3270766922
42	0.3228151
43	0.3204314423
44	0.31797555
45	0.3145497582
46	0.312869993
47	0.3108144119
48	0.3097842968
49	0.3057749183
50	0.3023439185
51	0.2980258599
52	0.2943345609
53	0.2935981532
54	0.2902791738
55	0.2859550962
56	0.2847857117
57	0.28146577
58	0.2800030924
59	0.2768968902
60	0.2747729129
61	0.2706185029
62	0.2686159143
63	0.2667700426
64	0.2663011032
65	0.2636374581
66	0.2613598706
67	0.2595383458
68	0.2563400095
69	0.2561181533
70	0.2546672306
71	0.2533369986
72	0.252528932
73	0.250402211
74	0.2486739038
75	0.2461520524
76	0.2441015097
77	0.2430520206
78	0.240390256
79	0.2394423129
80	0.2391427006
81	0.236855019
82	0.2340296078
83	0.2328737024
84	0.2318200506
85	0.2309716371
86	0.2279295571
87	0.2258267174
88	0.2252490338
89	0.2235039135
90	0.2213649708
91	0.2193593638
92	0.2174231759
93	0.2163079817
94	0.2142417277
95	0.2126371823
96	0.2117721468
97	0.2101536709
98	0.2087509574
99	0.2075295931
100	0.2058136164
101	0.2049101878
102	0.2028726212
103	0.2005363198
104	0.1992240622
105	0.1983277177
106	0.1976780729
107	0.1967914403
108	0.1962531438
109	0.1948904182
110	0.194282607
111	0.19314371
112	0.191733315
113	0.1903610848
114	0.1893077301
115	0.1878294268
116	0.1866463174
117	0.1850001894
118	0.1842461657
119	0.1840270244
120	0.1830503353
121	0.181915759
122	0.1804781888
123	0.1796908302
124	0.1785097714
125	0.1762609808
126	0.1753558378
127	0.1744192694
128	0.1744157129
129	0.1737808957
130	0.1728639866
131	0.1715007029
132	0.1696824195
133	0.1677056713
134	0.1668678279
135	0.1651468615
136	0.1648187408
137	0.1640921663
138	0.163341847
139	0.1629741923
140	0.1620313784
141	0.1614428129
142	0.1601234195
143	0.1598701379
144	0.1598528634
145	0.1589372396
146	0.1579359
147	0.1569529982
148	0.155596087
149	0.1553988126
150	0.1550498915
151	0.1549440579
152	0.1544980935
153	0.1544321788
154	0.1537610248
155	0.1532129361
156	0.1524071829
157	0.1521927553
158	0.1514047482
159	0.1502634422
160	0.148923873
161	0.1482763515
162	0.1473290739
163	0.1467802451
164	0.1459918261
165	0.1447563689
166	0.1439601855
167	0.1435994745
168	0.1432667722
169	0.1422795021
170	0.1414372718
171	0.1411070699
172	0.1406962618
173	0.1401208686
174	0.1396337745
175	0.1394469788
176	0.1384610159
177	0.1378061251
178	0.1368194572
179	0.1361968436
180	0.135461616
181	0.1345176592
182	0.1339924218
183	0.1334173654
184	0.132543952
185	0.1311337244
186	0.1293638948
187	0.1285591578
188	0.1283809848
189	0.1280970898
190	0.1274186618
191	0.1265977254
192	0.1256857436
193	0.1248558328
194	0.1235709358
195	0.1225841589
196	0.1214153755
197	0.1211973166
198	0.1207034734
199	0.1197216347
200	0.1189991672
201	0.1183845192
202	0.1177362748
203	0.1170517707
204	0.1159468052
205	0.1154652482
206	0.1149636661
207	0.1149636648
208	0.1144199164
209	0.1135916439
210	0.1134496207
211	0.1126660935
212	0.1116829598
213	0.1109729966
214	0.1103677615
215	0.1099262377
216	0.1093620415
217	0.1093273164
218	0.1087242238
219	0.1078689274
220	0.1072097651
221	0.1068312975
222	0.1058398299
223	0.1051050206
224	0.1044921162
225	0.103936759
226	0.1032844038
227	0.1025678602
228	0.1018850321
229	0.1010938208
230	0.1008777769
231	0.1001668768
232	0.09972626031
233	0.09915418921
234	0.09860886117
235	0.09821330247
236	0.09758599654
237	0.09665898344
238	0.09620977943
239	0.095748908632240	0.095456364324241	0.094950633242242	0.09458304243	243	0.0941453244	0244	0.093730245	0.245	0.09358246	0.1246	0.0930247	0.10247	0.0248	0.10090248	0249	0.1003487249	250	0.09983999250251	0.09871161325252	0.098041957725253	0.09785342972254	0.096920637182255	0.096527454312256	0.096247334862257	0.096024156082258	0.095608284672259	0.095593249822260	0.094842896326261	0.094143052626262	0.093736349262263	0.093402483263264	0.092921305264265	0.092277913265266	0.091568625266267	0.091396933267268	0.090715040268269	0.090165062269270	0.089631379270271	0.0893518271	0272	0.0892822272	0273	0.0889264273	0274	0.0883198274	275	0.08732786275	276	0.08680933276	277	0.08628889277	278	0.08588426278	279	0.08559348279	280	0.08518213280	281	0.08454584281282	0.08433496328283	0.084069896128284	0.083609938528285	0.083577443528286	0.083360504128287	0.083220998928288	0.082900884428289	0.082514834928290	0.082226679829291	0.082093203291292	0.082069291292293	0.081689351293294	0.081314687294295	0.080926398295296	0.080595338296297	0.080197037297298	0.079767184298299	0.079256610299300	0.07902826300	301	0.07851219301	302	0.07794993302	303	0.07762238303	304	0.07726489304305	0.077003574305306	0.076653032306307	0.076304212307308	0.075944968308309	0.075813691309310	0.075291489310311	0.074850197311312	0.074439002312313	0.073922301313314	0.073687871314315	0.073287946315316	0.073276295316317	0.072879177317318	0.072597891318319	0.072439715319320	0.072128202320321	0.072109422321322	0.071634368322323	0.071337591323324	0.071069146324325	0.070744092325326	0.070332034326327	0.070247471327328	0.070064492328329	0.069907208329330	0.069779399330331	0.06933973233332	0.068871888
333	0.06841156397
334	0.06810484681
335	0.068076630373336	0.067684813723337	0.067340492943338	0.067325431083339	0.067118964323340	0.066701837073341	0.0665129991
342	0.06618888106
343	0.06579132388
344	0.06555835905
345	0.06529012217
346	0.06489078941
347	0.064677819973348	0.0643204057
349	0.06421434317
350	0.063890708293351	0.063500618463352	0.062819825413353	0.062534795963354	0.0622362716
355	0.06184151988
356	0.0617329922
357	0.06141467518
358	0.06080289462
359	0.06048626861
360	0.06032287629
361	0.0599671043
362	0.05964419951
363	0.05900017789
364	0.05883300634
365	0.05863916308
366	0.05843622907
367	0.05825630761
368	0.05804424326
369	0.05792939665
370	0.05788324425
371	0.05745513125
372	0.05728470258
373	0.0569098113
374	0.05678028069
375	0.05666311687
376	0.05636159815
377	0.05617887837
378	0.05609864756
379	0.0559061789
380	0.05567613262
381	0.05538314645
382	0.05511097377
383	0.05503695682
384	0.0549448221
385	0.05470894542
386	0.0545747642
387	0.05439131883
388	0.05408355067
389	0.05402138818
390	0.05381545659
391	0.05381011405
392	0.05347345157
393	0.05331620487
394	0.05314644263
395	0.05296148628
396	0.05272265026
397	0.05244207624
398	0.05218904434
399	0.05204506312
400	0.05167690884
401	0.05161085848
402	0.05142644314
403	0.05135321503
404	0.05104826247
405	0.05104311575
406	0.05080448257
407	0.05069801894
408	0.05044748334
409	0.05034611825
410	0.05023832252
411	0.04983743824
412	0.049636404
413	0.04955473016
414	0.0493405391
415	0.04906739111
416	0.04878278834
417	0.0483739866
418	0.04827686218
419	0.04812378013
420	0.04793605004
421	0.04789674771
422	0.04769280114
423	0.04751681908
424	0.04726704578
425	0.04718070325
426	0.04698681168
427	0.04671132484
428	0.04662845501
429	0.04639818265
430	0.04625911553
431	0.04605238042
432	0.045982391
433	0.04581773466
434	0.04571742901
435	0.04555115659
436	0.04542506162
437	0.04523262027
438	0.04504964096
439	0.04491554315
440	0.04455713309
441	0.04429617321
442	0.04412821321
443	0.04399854386
444	0.04389233635
445	0.04374793738
446	0.04353203962
447	0.04346641361
448	0.04334161039
449	0.04314454213
450	0.04309374966
451	0.04291664648
452	0.04278920798
453	0.04264737124
454	0.04252874351
455	0.04252356071
456	0.04237905536
457	0.04215013993
458	0.04191532428
459	0.04182627977
460	0.04181947528
461	0.04161882854
462	0.04148035198
463	0.041243250463464	0.041101122464465	0.041063181465466	0.040992899466467	0.040816227467468	0.040810999468469	0.04068151946470	0.040479507347471	0.040312241147472	0.04018104054473	0.040109572294474	0.040065323064475	0.039914370244476	0.039814213847477	0.039768127947478	0.039609199947479	0.039473087047480	0.039295722480481	0.039069747481482	0.039007574482483	0.03896331748484	0.038815328048485	0.038745670348486	0.038582144048487	0.038458852148488	0.038254887148489	0.038044637948490	0.037844401149491	0.037661923749492	0.037595868
493	0.03753922213
494	0.0375338942
495	0.03746100637
496	0.03731067326
497	0.0372098549
498	0.03711695071
499	0.03695629269
500	0.03686084546
501	0.03675684188
502	0.03667158293
503	0.03661178094
504	0.03648168702
505	0.03638343267
506	0.03629953382
507	0.03619316478
508	0.03615516305
509	0.03611531504
510	0.03607023774
511	0.03602379329
512	0.03596908299
513	0.03596395188
514	0.03586389557
515	0.03572024803
516	0.03568670431
517	0.03561198691
518	0.03535497989
519	0.03525488603
520	0.035235643
521	0.03511334061
522	0.0350503984
523	0.0349205295
524	0.03481182371
525	0.03468452568
526	0.03455847228
527	0.03438769774
528	0.03419952097
529	0.03413535069
530	0.03412286921
531	0.03405468402
532	0.03388822271
533	0.03373465738
534	0.03372856409
535	0.03363378758
536	0.0336231491
537	0.03357839338
538	0.03353090215
539	0.033408972
540	0.03326570104
541	0.03320155592
542	0.03319706958
543	0.03311063415
544	0.03299921481
545	0.0329613231
546	0.03279718546
547	0.03265672331
548	0.0325809045
549	0.03242662645
550	0.03229829139
551	0.0321829265
552	0.03202640205
553	0.03195756402
554	0.03187326891
555	0.0317918564
556	0.0316868923
557	0.03161511545
558	0.03149241267
559	0.03144112334
560	0.03140704607
561	0.03136976104
562	0.03128617351
563	0.03127007905
564	0.03122182699
565	0.03112982731
566	0.03103046994
567	0.03089775966
568	0.0307060925
569	0.03064585963
570	0.03050981562
571	0.03045106744
572	0.03032951626
573	0.03028858917
574	0.03022759001
575	0.03012718722
576	0.03001094143
577	0.0299866922
578	0.02996139843
579	0.02992585837
580	0.02982142707
581	0.02974713535
582	0.02970319891
583	0.02963351787
584	0.0295907695
585	0.02957226064
586	0.02944223061
587	0.02939198794
588	0.02936361591
589	0.02927114284
590	0.02923699802
591	0.02921559109
592	0.02911365489
593	0.02908215958
594	0.02903862471
595	0.02893359535
596	0.02881543372
597	0.02879856598
598	0.02870685315
599	0.02869184743
600	0.02857159275
601	0.02852005867
602	0.02848577478
603	0.02843251017
604	0.02836187485
605	0.02826104948
606	0.02819787061
607	0.02813570056
608	0.02807657675
609	0.02800210203
610	0.02793666876
611	0.02790955048
612	0.02787487528
613	0.02779747209
614	0.02771166155
615	0.02761614615
616	0.02753300362
617	0.0274514458
618	0.02740082698
619	0.02732128214
620	0.02722668755
621	0.02711012957
622	0.02702741383
623	0.02692256076
624	0.02684476757
625	0.02675305389
626	0.02670986888
627	0.0266503716
628	0.02656461078
629	0.0265191445
630	0.02643130571
631	0.02634045445
632	0.02631763744
633	0.0262482136
634	0.02621996887
635	0.02618996653
636	0.02610622336
637	0.02600851896
638	0.02594507514
639	0.02587737696
640	0.02577747206
641	0.02570809264
642	0.02561885371
643	0.02555240742
644	0.02548419904
645	0.02541408892
646	0.02531784034
647	0.02528191975
648	0.02524016744
649	0.02514509858
650	0.02508918395
651	0.02505225755
652	0.02498987092
653	0.02493174076
654	0.02490853151
655	0.02488876591
656	0.02484515343
657	0.0248218829
658	0.02473372731
659	0.02464453598
660	0.02458281738
661	0.02451199658
662	0.0244987237
663	0.02444677065
664	0.02440017731
665	0.02433855987
666	0.02425800041
667	0.02425339586
668	0.02418071931
669	0.02410223348
670	0.02408337534
671	0.0240449387
672	0.02397836336
673	0.02396456015
674	0.02387790377
675	0.02376895019
676	0.02372463941
677	0.02367307748
678	0.02354439738
679	0.02351766125
680	0.02342731304
681	0.02336116659
682	0.02333938658
683	0.0233119448
684	0.02328694346
685	0.023264929
686	0.02321258048
687	0.02320445122
688	0.02317079976
689	0.02315475505
690	0.02311125169
691	0.02305507929
692	0.02300407265
693	0.02295646192
694	0.02287967329
695	0.02282922573
696	0.02278527006
697	0.0227669012
698	0.02273244656
699	0.02270433089
700	0.02263734164
701	0.02259673067
702	0.02256751296
703	0.02252910803
704	0.02247167678
705	0.02244798883
706	0.02237447733
707	0.02233470737
708	0.02229185111
709	0.02224862879
710	0.02222095858
711	0.02216494515
712	0.02212102536
713	0.02210119254
714	0.02207406578
715	0.02205518515
716	0.0220532141
717	0.0219957259
718	0.0219546773
719	0.02189412727
720	0.02182416085
721	0.02180358324
722	0.02174600179
723	0.02170654442
724	0.02168770475
725	0.02165019088
726	0.02162952299
727	0.0215807165
728	0.02151135612
729	0.02146665393
730	0.02145267714
731	0.02141649871
732	0.02138336783
733	0.02135607991
734	0.02132612155
735	0.02127321468
736	0.021240456
737	0.02121642059
738	0.0211479093
739	0.02111963847
740	0.02105382692
741	0.02102016918
742	0.02095062467
743	0.02091227919
744	0.02084975319
745	0.02081510274
746	0.0207866277
747	0.02077272591
748	0.02074941157
749	0.02067894541
750	0.02063552398
751	0.02060743401
752	0.02058463212
753	0.02051970813
754	0.02047669847
755	0.02043313811
756	0.02040719003
757	0.02036513908
758	0.0203469733
759	0.02029789935
760	0.02024840257
761	0.02022201256
762	0.02018868277
763	0.02014138641
764	0.0200794466
765	0.02003972759
766	0.02000045508
767	0.01998938052
768	0.0199810192
769	0.01996773502
770	0.0199461073
771	0.01992355997
772	0.01986732586
773	0.01984081501
774	0.01980046935
775	0.01978804895
776	0.0197735578
777	0.01971674876
778	0.01967236704
779	0.01960170539
780	0.01955520081
781	0.01951186543
782	0.01949873179
783	0.01945437252
784	0.01940800289
785	0.01936872184
786	0.01931242149
787	0.01925338366
788	0.01920372078
789	0.01917584723
790	0.01916841488
791	0.01915557438
792	0.01913784106
793	0.01909970908
794	0.01902980632
795	0.01901665984
796	0.01898914779
797	0.01892991663
798	0.01888813507
799	0.01886162943
800	0.01880432203
801	0.01874907363
802	0.01870591098
803	0.01867284791
804	0.01862528367
805	0.01856146041
806	0.0185158952
807	0.01848004785
808	0.01842597378
809	0.01838764801
810	0.01829719572
811	0.01826429683
812	0.01821335141
813	0.01817747592
814	0.01812078785
815	0.01809789684
816	0.01807904831
817	0.01806449458
818	0.01803773905
819	0.017993866
820	0.01795437848
821	0.0179224003
822	0.0178694979
823	0.01785660922
824	0.0178123239
825	0.01776140014
826	0.01771160685
827	0.0176870674
828	0.01767510333
829	0.01762469321
830	0.01758195491
831	0.01754847321
832	0.01753004606
833	0.01752402362
834	0.01749448252
835	0.01748701445
836	0.01745890932
837	0.01740735603
838	0.01736230171
839	0.01731554914
840	0.01729435616
841	0.01726984542
842	0.01722103832
843	0.01719441034
844	0.01717136357
845	0.01713344184
846	0.01709826347
847	0.01707076646
848	0.01703895765
849	0.0169954301
850	0.01694572041
851	0.01689281042
852	0.01686326142
853	0.01683770446
854	0.01678707754
855	0.01673346632
856	0.01667998909
857	0.01665474678
858	0.01663690848
859	0.01661182694
860	0.0165881127
861	0.01653219704
862	0.01648049485
863	0.01642811761
864	0.01638617072
865	0.01635488598
866	0.01634574775
867	0.01634141296
868	0.01627441354
869	0.01626331302
870	0.01625278391
871	0.01619324832
872	0.01616381728
873	0.01614246555
874	0.01612793757
875	0.01610485609
876	0.01606698334
877	0.01604073068
878	0.0160118372
879	0.01599798217
880	0.01596743514
881	0.0159290225
882	0.01592563081
883	0.0158860425
884	0.01586320031
885	0.01583106944
886	0.01579416314
887	0.01575007598
888	0.01572533946
889	0.01568896102
890	0.01565568963
891	0.01564926382
892	0.0156296497
893	0.01559546774
894	0.01557959251
895	0.01553053379
896	0.0155023712
897	0.01549589503
898	0.01547157941
899	0.01544728357
900	0.01541142529
901	0.01536450981
902	0.01533790149
903	0.01532958629
904	0.01531625927
905	0.01530049354
906	0.01528369454
907	0.01527733137
908	0.01524970062
909	0.01524047729
910	0.01520901113
911	0.01516731419
912	0.01512941812
913	0.01510264094
914	0.01509477622
915	0.01506162203
916	0.01503165057
917	0.015023669
918	0.01498555747
919	0.01497349531
920	0.01495883405
921	0.01494410931
922	0.01494410931
923	0.01492136908
924	0.01491846129
925	0.01488452498
926	0.01485973763
927	0.01485973508
928	0.01482992719
929	0.01481668991
930	0.01481071175
931	0.01478410292
932	0.0147680386
933	0.01475265997
934	0.01473349297
935	0.01472298217
936	0.01470617873
937	0.0146809086
938	0.01466893315
939	0.01463376883
940	0.01462079489
941	0.01459607478
942	0.0145792382
943	0.01456876064
944	0.01453885219
945	0.01451738554
946	0.01450495727
947	0.01447925551
948	0.01446352835
949	0.01444968852
950	0.01444721218
951	0.01443368181
952	0.01440709327
953	0.01438193787
954	0.01436509045
955	0.01433213836
956	0.01430277103
957	0.01429023605
958	0.01427131868
959	0.014251632
960	0.01423048866
961	0.01421288081
962	0.01420216615
963	0.01417295892
964	0.01415593831
965	0.01413124183
966	0.01411915516
967	0.0140910096
968	0.01407399314
969	0.0140500854
970	0.01402827686
971	0.01399885975
972	0.01398503902
973	0.01396561166
974	0.0139488256
975	0.01392744329
976	0.01390731192
977	0.01389720898
978	0.01386584875
979	0.0138459999
980	0.01383520325
981	0.01381365796
982	0.01378780446
983	0.01378780051
984	0.01376001478
985	0.01373840561
986	0.01370359254
987	0.0136718312
988	0.01365864916
989	0.01363350553
990	0.01360671843
991	0.01358939794
992	0.01358939677
993	0.01358714891
994	0.01358498441
995	0.01357591369
996	0.01355683983
997	0.013548328
998	0.01353578291
999	0.01352546469
.01637536185
1638964816999	0.01176966293
105556158
999	0.0105416295
